path,classification,current_owner,canonical_target,recommended_action,reason,review_status,evidence
.github/BRANCH_PROTECTION_VERIFIED.md,historical,maintenance area: .github,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/DISK_SPACE_FIXES.md,historical,maintenance area: .github,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/PR_932_APPROVAL_COMMENT.md,historical,maintenance area: .github,docs/governance/DOCUMENTATION_MAP.md,preserve dated evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/QUICK_START_v2.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,Navigation or historical boundary corrected; no paragraph-level implementation review claimed.,navigation-only review,Coordinator diff review; DOCUMENTATION_MAP.md; exact tracked target and available git relocation history where links changed
.github/agents/RAG_ENHANCEMENTS_GUIDE.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/RAG_QUICK_START.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/RAG_SYSTEM_ENHANCEMENTS.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",inventory-only classification,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/README.md,current-support,maintenance area: .github/agents,docs/governance/DOCUMENTATION_MAP.md,review with owning implementation before operator use,Navigation or historical boundary corrected; no paragraph-level implementation review claimed.,navigation-only review,Coordinator diff review; DOCUMENTATION_MAP.md; exact tracked target and available git relocation history where links changed
.github/agents/_archive/ADVANCED_FEATURES_INTEGRATION.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
.github/agents/_archive/AGENT_ENHANCEMENTS_v2.md,archive-only,maintenance area: .github/agents/_archive,docs/governance/DOCUMENTATION_MAP.md,preserve retired evidence,"Classification from DOCUMENTATION_POLICY.md, current map and prior dated inventory; no paragraph-level verification implied.",preserved historical evidence,docs/governance/DOCUMENTATION_POLICY.md; docs/governance/DOCUMENTATION_MAP.md; base faa3758fc3b5180bccf264c9a1b1d1b5ef927c52
