original_path,current_path,may_11_classification,may_12_disposition,current_owner,canonical_target,recommended_action,reason
docs/architecture/.DS_Store,,not-in-may-11-inventory,delete,Repository Architect / Agent governance,n/a,remove local Finder metadata artifact; do not archive,Untracked local metadata file; not documentation or audit evidence.
docs/architecture/ADR-001-APPROVAL.md,docs/architecture/ADR-001-APPROVAL.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-001-APPROVAL.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-001-PBR-Integration-Architecture.md,docs/architecture/ADR-001-PBR-Integration-Architecture.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-001-PBR-Integration-Architecture.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-017-parallelization-strategy.md,docs/architecture/ADR-017-parallelization-strategy.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-017-parallelization-strategy.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-018-depth-pro-integration.md,docs/architecture/ADR-018-depth-pro-integration.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-018-depth-pro-integration.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-019-depth-backend-unification.md,docs/architecture/ADR-019-depth-backend-unification.md,canonical,canonical,Repository Architect,docs/architecture/ADR-019-depth-backend-unification.md,maintain as canonical architecture source,Kept in the explicit canonical architecture set from the May 12 triage plan.
docs/architecture/ADR-019_FINAL_CHECKLIST.md,docs/architecture/ADR-019_FINAL_CHECKLIST.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-019_FINAL_CHECKLIST.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-019_VERIFICATION_REPORT.md,docs/architecture/ADR-019_VERIFICATION_REPORT.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-019_VERIFICATION_REPORT.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-020-drop-python-3.10.md,docs/architecture/ADR-020-drop-python-3.10.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-020-drop-python-3.10.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-021-huggingface-revision-policy.md,docs/architecture/ADR-021-huggingface-revision-policy.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-021-huggingface-revision-policy.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-022-v2-enhancement-optional.md,docs/architecture/ADR-022-v2-enhancement-optional.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-022-v2-enhancement-optional.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
docs/architecture/ADR-023-spatial-ai-ingest-isolation.md,docs/architecture/ADR-023-spatial-ai-ingest-isolation.md,current-support,current-support-adr,Repository Architect,docs/architecture/ADR-023-spatial-ai-ingest-isolation.md,keep in docs/architecture as active support ADR; review when contracts change,May 11 inventory kept this as current-support; May 12 triage keeps it as support ADR material.
